heldout_family,heldout_tasks,model,sharing,information_set,selected_hyperparameters,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states
evidence_gathering,information_sampling,intercept,fully_shared,observable,"{""penalty"": 0.01}",0.839507383801083,0.316969204516536,0.5,0.8395073838010827,1.001319609668769,1,40
evidence_gathering,information_sampling,intercept,hierarchical,observable,"{""penalty"": 0.01}",0.8261087818518,0.311432479597418,0.5,0.8261087818518004,0.9787229345953414,1,40
evidence_gathering,information_sampling,time_only,fully_shared,observable,"{""penalty"": 0.01}",0.838991959479545,0.316758033845895,0.48484848484848486,0.8389919594795451,0.999658135692713,1,40
evidence_gathering,information_sampling,time_only,hierarchical,observable,"{""penalty"": 0.01}",0.83513032565397,0.315173307458627,0.5151515151515151,0.8351303256539702,0.9946925308391937,1,40
evidence_gathering,information_sampling,immediate_state,fully_shared,observable,"{""penalty"": 0.01}",0.725170028599336,0.265612092178903,0.5353535353535355,0.7251700285993359,0.777481881638936,1,40
evidence_gathering,information_sampling,immediate_state,hierarchical,observable,"{""penalty"": 0.01}",0.767177794375675,0.285406532208641,0.5151515151515151,0.7671777943756746,0.8758007097822628,1,40
evidence_gathering,information_sampling,finite_history,fully_shared,observable,"{""history_lag"": 1, ""penalty"": 0.01}",0.742677203426073,0.273325818875712,0.5101010101010102,0.7426772034260735,0.8702831074738558,1,40
evidence_gathering,information_sampling,finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",0.793073542972197,0.294179958103318,0.5101010101010102,0.7930735429721968,1.0001709927583635,1,40
evidence_gathering,information_sampling,exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.710275256436758,0.258404182790544,0.48484848484848486,0.7102752564367577,0.740250941720754,1,40
evidence_gathering,information_sampling,exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.752141941801885,0.278424370806435,0.48484848484848486,0.7521419418018848,0.8509697319514667,1,40
evidence_gathering,information_sampling,perseveration,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.7414417236704,0.273284951721971,0.494949494949495,0.7414417236704003,0.8329635422065114,1,40
